 GMP  , Name galaxy     ,x,RA,y,Dec,Magnitude   ,Galaxy color     ,Velocity  ,Comment
2201,          ,194.6,194.5,28.91,28.91,16.86,1.85,5852,C1
2237,          ,194.61,194.51,28.8,28.8,16.26,1.93,6664,C1
2251,          ,194.62,194.52,29.03,29.03,17.35,1.79,7128,C1
2252,          ,194.62,194.52,28.82,28.82,16.1,1.85,5837,C1
2289,          ,194.63,194.53,29.06,29.06,18.43,1.6,7391,C1
2348,          ,194.66,194.56,28.9,28.9,15.85,1.91,6816,C1
2415,          ,194.68,194.58,29.12,29.12,19.97,2.35,53501,C1
2423,          ,194.69,194.59,29.05,29.05,18.5,NaN,6459,C1
2551,          ,194.73,194.63,29.01,29.01,16.85,2.99,7537,C1
2555,          ,194.73,194.63,28.99,28.99,19.63,1.74,50223,C1
2667,          ,194.77,194.67,29.06,29.06,19.69,2.03,24169,C1
2683,          ,194.78,194.68,28.94,28.94,19.73,NaN,73311,C1
*3254 ,          ,194.79,194.69,29.13,29.13,NaN,NaN,-118,C1
2764,          ,194.8,194.7,29.12,29.12,19,1.77,6659,C1
2790,          ,194.81,194.71,29.08,29.08,19.66,2.29,81697,C1
2794,NGC4898B  ,194.81,194.71,28.96,28.96,16.19,NaN,6504,C1
2798,NGC4898A  ,194.81,194.71,28.96,28.96,14.85,NaN,6811,C1
2805,          ,194.81,194.71,29.06,29.06,16.57,1.78,6064,C1
      ,          ,194.82,194.72,29.09,29.09,NaN,NaN,81993,C1
      ,          ,194.82,194.72,28.8,28.8,NaN,NaN,-189,C1
2878,          ,194.83,194.73,28.77,28.77,20.09,2.28,69204,C1
2879,          ,194.83,194.73,29.07,29.07,18.05,1.75,7188,C1
*3401 ,          ,194.83,194.73,28.82,28.82,19.37,2.14,45,C1
2931,          ,194.85,194.75,28.93,28.93,19.2,1.89,7837,C1
2946,          ,194.85,194.75,28.98,28.98,16.31,NaN,7807,C1
2964,          ,194.85,194.75,28.98,28.98,17.74,NaN,7788,C1
2991,          ,194.86,194.76,29.02,29.02,19.82,2.27,60023,C1
